period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id,poc_ok
1,PT12M00.00S,12:00,Q1 12:00,48.0,2,period,Start of 1st Period (6:11 PM EST),[],,0,0,,False,False,0.0,,,2pt made,,,,1627763|1627783|200768|201572|201586|201980|202339|202695|203114|203507,1627783|200768|201586|201980|202695,1627763|201572|202339|203114|203507,,,1610612761.0,21800388,True
1,PT11M45.00S,11:45,Q1 11:45,47.75,7,2pt,Antetokounmpo 19' Pullup Jump Shot (2 PTS) (Bledsoe 1 AST),[],Antetokounmpo,0,2,Made,True,True,203507.0,202339.0,period,foul,,,,1627763|1627783|200768|201572|201586|201980|202339|202695|203114|203507,1627763|201572|202339|203114|203507,1627783|200768|201586|201980|202695,57.0,186.0,1610612749.0,21800388,True
1,PT11M24.00S,11:24,Q1 11:24,47.4,9,foul,Antetokounmpo P.FOUL (P1.T1) (Z.Zarba),[],Antetokounmpo,0,2,,False,False,203507.0,,2pt made,2pt made,202695.0,,,1627763|1627783|200768|201572|201586|201980|202339|202695|203114|203507,1627763|201572|202339|203114|203507,1627783|200768|201586|201980|202695,,,1610612749.0,21800388,True
1,PT11M15.00S,11:15,Q1 11:15,47.25,11,2pt,Leonard 15' Pullup Jump Shot (2 PTS),[],Leonard,2,2,Made,True,False,202695.0,,foul,3pt made,,,,1627763|1627783|200768|201572|201586|201980|202339|202695|203114|203507,1627783|200768|201586|201980|202695,1627763|201572|202339|203114|203507,94.0,120.0,1610612761.0,21800388,True
1,PT11M06.00S,11:06,Q1 11:06,47.1,12,3pt,Antetokounmpo 26' 3PT Jump Shot (5 PTS) (Bledsoe 2 AST),[],Antetokounmpo,2,5,Made,True,True,203507.0,202339.0,2pt made,3pt missed,,,,1627763|1627783|200768|201572|201586|201980|202339|202695|203114|203507,1627763|201572|202339|203114|203507,1627783|200768|201586|201980|202695,-2.0,259.0,1610612749.0,21800388,True
1,PT10M50.00S,10:50,Q1 10:50,46.833333333333336,14,3pt,MISS Ibaka 24' 3PT Jump Shot,[],Ibaka,2,5,Missed,True,False,201586.0,,3pt made,rebound,,,,1627763|1627783|200768|201572|201586|201980|202339|202695|203114|203507,1627783|200768|201586|201980|202695,1627763|201572|202339|203114|203507,-91.0,226.0,1610612761.0,21800388,True
1,PT10M48.00S,10:48,Q1 10:48,46.8,15,rebound,Antetokounmpo REBOUND (Off:0 Def:1),[],Antetokounmpo,2,5,,False,False,203507.0,,3pt missed,3pt made,,,,1627763|1627783|200768|201572|201586|201980|202339|202695|203114|203507,1627763|201572|202339|203114|203507,1627783|200768|201586|201980|202695,,,1610612749.0,21800388,True
1,PT10M39.00S,10:39,Q1 10:39,46.65,16,3pt,Middleton 25' 3PT Jump Shot (3 PTS) (Antetokounmpo 1 AST),[],Middleton,2,8,Made,True,True,203114.0,203507.0,rebound,3pt made,,,,1627763|1627783|200768|201572|201586|201980|202339|202695|203114|203507,1627763|201572|202339|203114|203507,1627783|200768|201586|201980|202695,-150.0,205.0,1610612749.0,21800388,True
1,PT10M11.00S,10:11,Q1 10:11,46.18333333333334,18,3pt,Siakam 3PT Jump Shot (3 PTS) (Ibaka 1 AST),[],Siakam,5,8,Made,True,True,1627783.0,201586.0,3pt made,2pt made,,,,1627763|1627783|200768|201572|201586|201980|202339|202695|203114|203507,1627783|200768|201586|201980|202695,1627763|201572|202339|203114|203507,228.0,16.0,1610612761.0,21800388,True
1,PT09M58.00S,09:58,Q1 09:58,45.96666666666667,20,2pt,Lopez 10' Driving Floating Jump Shot (2 PTS),[],Lopez,5,10,Made,True,False,201572.0,,3pt made,3pt missed,,,,1627763|1627783|200768|201572|201586|201980|202339|202695|203114|203507,1627763|201572|202339|203114|203507,1627783|200768|201586|201980|202695,87.0,57.0,1610612749.0,21800388,True
