period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id
1,PT11M39.00S,11:39,Q1 11:39,46.35,7,2pt,MISS K. Durant 12' driving floating Shot,['pointsinthepaint'],Durant,0,0,Missed,True,False,201142,,,rebound,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,-43.0,113.0,1610612745.0,22500012
1,PT11M36.00S,11:36,Q1 11:36,46.4,8,rebound,A. Thompson REBOUND (Off:1 Def:0),[],Thompson,0,0,,False,False,1641708,,2pt missed,3pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT11M35.00S,11:35,Q1 11:35,46.416666666666664,9,3pt,T. Eason 24' 3PT  (3 PTS) (K. Durant 1 AST),['2ndchance'],Eason,0,3,Made,True,True,1631106,201142.0,rebound,turnover,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,230.0,83.0,1610612745.0,22500012
1,PT11M08.00S,11:08,Q1 11:08,46.86666666666667,11,turnover,L. Dončić bad pass TURNOVER (1 TO),[],Dončić,0,3,,False,False,1629029,,3pt made,steal,,1630578.0,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT11M08.00S,11:08,Q1 11:08,46.86666666666667,12,steal,A. Sengun STEAL (1 STL),[],Sengun,0,3,,False,False,1630578,,turnover,2pt missed,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT10M51.00S,10:51,Q1 10:51,45.15,13,2pt,MISS T. Eason 15' step back Shot,['fromturnover'],Eason,0,3,Missed,True,False,1631106,,steal,rebound,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,154.0,11.0,1610612745.0,22500012
1,PT10M47.00S,10:47,Q1 10:47,45.21666666666667,14,rebound,A. Sengun REBOUND (Off:1 Def:0),[],Sengun,0,3,,False,False,1630578,,2pt missed,3pt missed,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT10M45.00S,10:45,Q1 10:45,45.25,15,3pt,MISS K. Durant 25' 3PT,"['fromturnover', '2ndchance']",Durant,0,3,Missed,True,False,201142,,rebound,rebound,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,-11.0,257.0,1610612745.0,22500012
1,PT10M41.00S,10:41,Q1 10:41,45.31666666666667,16,rebound,L. Dončić REBOUND (Off:0 Def:1),[],Dončić,0,3,,False,False,1629029,,3pt missed,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT10M37.00S,10:37,Q1 10:37,45.38333333333333,17,2pt,D. Ayton 7' turnaround Hook (2 PTS) (L. Dončić 1 AST),"['fastbreak', 'pointsinthepaint']",Ayton,2,3,Made,True,True,1629028,1629029.0,rebound,turnover,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,-7.0,76.0,1610612747.0,22500012
1,PT10M24.00S,10:24,Q1 10:24,45.6,19,turnover,K. Durant bad pass out-of-bounds TURNOVER (1 TO),[],Durant,2,3,,False,False,201142,,2pt made,turnover,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT10M15.00S,10:15,Q1 10:15,45.75,20,turnover,L. Dončić bad pass TURNOVER (2 TO),[],Dončić,2,3,,False,False,1629029,,turnover,steal,,1631095.0,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT10M15.00S,10:15,Q1 10:15,45.75,21,steal,J. Smith Jr. STEAL (1 STL),[],Smith Jr.,2,3,,False,False,1631095,,turnover,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT10M09.00S,10:09,Q1 10:09,45.85,22,2pt,T. Eason running DUNK (5 PTS) (A. Sengun 1 AST),"['fastbreak', 'pointsinthepaint', 'fromturnover']",Eason,2,5,Made,True,True,1631106,1630578.0,steal,turnover,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,10.0,10.0,1610612745.0,22500012
1,PT09M49.00S,09:49,Q1 09:49,44.18333333333333,24,turnover,L. Dončić bad pass TURNOVER (3 TO),[],Dončić,2,5,,False,False,1629029,,2pt made,steal,,1641708.0,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT09M49.00S,09:49,Q1 09:49,44.18333333333333,25,steal,A. Thompson STEAL (1 STL),[],Thompson,2,5,,False,False,1641708,,turnover,2pt missed,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT09M45.00S,09:45,Q1 09:45,44.25,26,2pt,MISS A. Thompson running Layup - blocked,"['pointsinthepaint', 'fromturnover', 'fastbreak']",Thompson,2,5,Missed,True,False,1641708,,steal,block,,,1629029.0,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,-34.0,14.0,1610612745.0,22500012
1,PT09M45.00S,09:45,Q1 09:45,44.25,27,block,L. Dončić BLOCK (1 BLK),[],Dončić,2,5,,False,False,1629029,,2pt missed,rebound,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT09M45.00S,09:45,Q1 09:45,44.25,28,rebound,TEAM offensive REBOUND,['team'],,2,5,,False,False,0,,block,turnover,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT09M38.00S,09:38,Q1 09:38,44.36666666666667,30,turnover,A. Sengun bad pass TURNOVER (1 TO),[],Sengun,2,5,,False,False,1630578,,rebound,steal,,2544.0,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT09M38.00S,09:38,Q1 09:38,44.36666666666667,31,steal,L. James STEAL (1 STL),[],James,2,5,,False,False,2544,,turnover,foul,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT09M35.00S,09:35,Q1 09:35,44.416666666666664,32,foul,J. Smith Jr. shooting personal FOUL (1 PF) (James 2 FT),['2freethrow'],Smith Jr.,2,5,,False,False,1631095,,steal,freethrow,2544.0,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT09M35.00S,09:35,Q1 09:35,44.416666666666664,34,freethrow,L. James Free Throw 1 of 2 (1 PTS),"['fromturnover', 'fastbreak']",James,3,5,Made,False,False,2544,,foul,freethrow,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT09M35.00S,09:35,Q1 09:35,44.416666666666664,35,freethrow,MISS L. James Free Throw 2 of 2,"['fastbreak', 'fromturnover']",James,3,5,Missed,False,False,2544,,freethrow,rebound,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT09M33.00S,09:33,Q1 09:33,44.45,36,rebound,A. Sengun REBOUND (Off:1 Def:1),[],Sengun,3,5,,False,False,1630578,,freethrow,2pt missed,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT09M18.00S,09:18,Q1 09:18,44.7,37,2pt,MISS K. Durant 16' pullup Shot,[],Durant,3,5,Missed,True,False,201142,,rebound,rebound,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,98.0,134.0,1610612745.0,22500012
1,PT09M15.00S,09:15,Q1 09:15,44.75,38,rebound,L. Dončić REBOUND (Off:0 Def:2),[],Dončić,3,5,,False,False,1629029,,2pt missed,foul,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT09M15.00S,09:15,Q1 09:15,44.75,39,foul,T. Eason personal FOUL (1 PF),[],Eason,3,5,,False,False,1631106,,rebound,turnover,1629029.0,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT09M12.00S,09:12,Q1 09:12,44.8,41,turnover,A. Reaves bad pass TURNOVER (1 TO),[],Reaves,3,5,,False,False,1630559,,foul,steal,,1631106.0,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT09M12.00S,09:12,Q1 09:12,44.8,42,steal,T. Eason STEAL (1 STL),[],Eason,3,5,,False,False,1631106,,turnover,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT09M08.00S,09:08,Q1 09:08,44.86666666666667,43,2pt,T. Eason driving DUNK (7 PTS),"['pointsinthepaint', 'fromturnover']",Eason,3,7,Made,True,False,1631106,,steal,3pt missed,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,-1.0,11.0,1610612745.0,22500012
1,PT08M54.00S,08:54,Q1 08:54,43.1,44,3pt,MISS A. Reaves 25' step back 3PT,[],Reaves,3,7,Missed,True,False,1630559,,2pt made,rebound,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,-120.0,227.0,1610612747.0,22500012
1,PT08M51.00S,08:51,Q1 08:51,43.15,45,rebound,K. Durant REBOUND (Off:0 Def:1),[],Durant,3,7,,False,False,201142,,3pt missed,2pt missed,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT08M34.00S,08:34,Q1 08:34,43.43333333333333,46,2pt,MISS K. Durant pullup Shot,['pointsinthepaint'],Durant,3,7,Missed,True,False,201142,,rebound,rebound,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,-56.0,-6.0,1610612745.0,22500012
1,PT08M32.00S,08:32,Q1 08:32,43.46666666666667,47,rebound,A. Thompson REBOUND (Off:2 Def:0),[],Thompson,3,7,,False,False,1641708,,2pt missed,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT08M32.00S,08:32,Q1 08:32,43.46666666666667,48,2pt,A. Thompson putback Layup (2 PTS),"['pointsinthepaint', '2ndchance']",Thompson,3,9,Made,True,False,1641708,,rebound,3pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,-4.0,-6.0,1610612745.0,22500012
1,PT08M17.00S,08:17,Q1 08:17,43.71666666666667,49,3pt,A. Reaves 3PT  (3 PTS) (L. Dončić 2 AST),[],Reaves,6,9,Made,True,True,1630559,1629029.0,2pt made,3pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,-234.0,13.0,1610612747.0,22500012
1,PT08M06.00S,08:06,Q1 08:06,43.9,51,3pt,J. Smith Jr. 26' 3PT  (3 PTS) (T. Eason 1 AST),[],Smith Jr.,6,12,Made,True,True,1631095,1631106.0,3pt made,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,183.0,185.0,1610612745.0,22500012
1,PT07M50.00S,07:50,Q1 07:50,42.166666666666664,53,2pt,A. Reaves driving Layup (5 PTS),['pointsinthepaint'],Reaves,8,12,Made,True,False,1630559,,3pt made,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,23.0,12.0,1610612747.0,22500012
1,PT07M37.00S,07:37,Q1 07:37,42.38333333333333,54,2pt,K. Durant 6' fadeaway Jump Shot (2 PTS) (A. Thompson 1 AST),['pointsinthepaint'],Durant,8,14,Made,True,True,201142,1641708.0,2pt made,turnover,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,-61.0,15.0,1610612745.0,22500012
1,PT07M27.00S,07:27,Q1 07:27,42.55,56,turnover,L. Dončić step out-of-bounds TURNOVER (4 TO),[],Dončić,8,14,,False,False,1629029,,2pt made,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT07M14.00S,07:14,Q1 07:14,42.766666666666666,57,2pt,A. Thompson driving Layup (4 PTS),"['pointsinthepaint', 'fromturnover']",Thompson,8,16,Made,True,False,1641708,,turnover,3pt missed,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,25.0,16.0,1610612745.0,22500012
1,PT07M05.00S,07:05,Q1 07:05,42.916666666666664,58,3pt,MISS L. James 26' 3PT,[],James,8,16,Missed,True,False,2544,,2pt made,rebound,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,176.0,200.0,1610612747.0,22500012
1,PT07M02.00S,07:02,Q1 07:02,42.96666666666667,59,rebound,A. Sengun REBOUND (Off:1 Def:2),[],Sengun,8,16,,False,False,1630578,,3pt missed,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT06M48.00S,06:48,Q1 06:48,41.2,60,2pt,A. Sengun 10' Hook (2 PTS),['pointsinthepaint'],Sengun,8,18,Made,True,False,1630578,,rebound,timeout,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,36.0,99.0,1610612745.0,22500012
1,PT06M42.00S,06:42,Q1 06:42,41.3,61,timeout,LAL Timeout,"['team', 'mandatory']",,8,18,,False,False,0,,2pt made,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT06M33.00S,06:33,Q1 06:33,41.45,62,2pt,D. Ayton 16' Jump Shot (4 PTS) (L. James 1 AST),[],Ayton,10,18,Made,True,True,1629028,2544.0,timeout,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,-43.0,154.0,1610612747.0,22500012
1,PT06M15.00S,06:15,Q1 06:15,41.75,64,2pt,A. Thompson driving Layup (6 PTS) (A. Sengun 2 AST),['pointsinthepaint'],Thompson,10,20,Made,True,True,1641708,1630578.0,2pt made,3pt missed,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,25.0,6.0,1610612745.0,22500012
1,PT05M59.00S,05:59,Q1 05:59,40.016666666666666,66,3pt,MISS R. Hachimura 3PT,[],Hachimura,10,20,Missed,True,False,1629060,,2pt made,rebound,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,223.0,12.0,1610612747.0,22500012
1,PT05M56.00S,05:56,Q1 05:56,40.06666666666667,67,rebound,A. Thompson REBOUND (Off:2 Def:1),[],Thompson,10,20,,False,False,1641708,,3pt missed,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
